Date,SP500,SMALL CAP,TBILL,GOVT IT,GOVT LT,CORP LT,INFLATION
3/31/2013,0.0193,-0.0079,3.75E-05,0.006035503,0.0377628,0.034902697,-0.001039645
2/28/2013,0.0375,0.0487,3.79E-05,-0.014265295,-0.006192806,-0.001757102,0.002614479
1/31/2013,0.0136,0.011,2.33E-05,0.006404197,0.011435401,0.009283601,0.008190016
12/31/2012,0.0518,0.0568,1.67E-05,-0.0061289,-0.033167795,-0.031321296,0.002957312
11/30/2012,0.0091,0.038,0.000101204,-0.003129902,-0.0201974,-0.0062251,-0.002693096
10/31/2012,0.0058,0.0094,7.67E-05,0.004787204,0.014360397,-0.0091909,-0.002910408
9/30/2012,-0.0185,-0.0205,6.38E-05,-0.002376102,-0.001412298,0.020600301,-0.002221241
8/31/2012,0.0258,0.0419,6.49E-05,0.000417593,-0.0146361,-0.012603403,0.004462228
7/31/2012,0.0225,0.0312,5.94E-05,0.001502705,-0.006849601,-0.009263701,0.005565186
6/30/2012,0.0139,-0.0091,4.17E-05,0.007730197,0.024720099,0.0611553,-0.001629745
5/31/2012,0.0412,0.0512,2.20E-05,-0.001958193,-0.013571697,0.006417803,-0.001466437
4/30/2012,-0.0601,-0.0697,6.67E-05,0.00825049,0.064261698,0.034426196,-0.00117302
3/31/2012,-0.0063,-0.0142,2.57E-05,0.012899708,0.040947102,0.025103003,0.00302104
2/29/2012,0.0329,0.0298,4.63E-05,-0.007042998,-0.030168204,-0.030304004,0.007594566
1/31/2012,0.0432,0.0191,2.50E-05,-0.005237003,-0.019647002,0.005667302,0.004403035
12/31/2011,0.0448,0.0696,3.31E-06,0.000839796,0.000192,0.019431298,0.004400168
11/30/2011,0.0102,0.0086,7.78E-07,0.004942007,0.027025503,0.051230606,-0.002466523
10/31/2011,-0.0022,-0.006,2.19E-06,0.003560501,0.025145997,-0.035581602,-0.00084357
9/30/2011,0.1093,0.1543,4.33E-06,0.00091279,-0.0306048,0.009378299,-0.00206266
8/31/2011,-0.0703,-0.1058,4.96E-06,0.0008348,0.070417901,0.057491203,0.001518465
7/31/2011,-0.0543,-0.0893,8.03E-05,0.021034004,0.086223806,0.023968301,0.002757595
6/30/2011,-0.0203,-0.0269,-2.13E-05,0.020235796,0.042180098,0.047276294,0.000885969
5/31/2011,-0.0167,-0.0216,3.17E-05,-0.000109399,-0.0179414,-0.0209566,-0.001070973
4/30/2011,-0.0113,-0.0192,1.42E-05,0.017920103,0.035481603,0.025710705,0.004704242
3/31/2011,0.0296,0.0168,4.05E-05,0.015412502,0.019907898,0.023904398,0.006439404
2/28/2011,0.0004,0.0325,7.10E-05,-0.000473705,-0.000616502,-0.007190099,0.009751024
1/31/2011,0.0342,0.0587,0.000119631,-0.005308394,0.011319505,0.015742001,0.004931423
12/31/2010,0.0237,-0.0109,6.90E-05,0.006228893,-0.0196004,-0.019805702,0.004763203
11/30/2010,0.0668,0.0819,0.000133182,-0.017118899,-0.038814306,-0.0036191,0.001718434
10/31/2010,1.00E-04,0.0424,0.000108037,-0.008224096,-0.013726397,-0.005727401,0.000420548
9/30/2010,0.0381,0.0434,0.000108487,0.006364503,-0.031738704,-0.0202745,0.001245243
8/31/2010,0.0892,0.1216,0.000129578,0.004908601,-0.015330099,-0.014394799,0.000581681
7/31/2010,-0.0451,-0.0798,0.000127501,0.012809697,0.070212597,0.0473188,0.001380728
6/30/2010,0.0701,0.0714,0.000142808,0.015819203,0.002438108,0.016979795,0.000210953
5/31/2010,-0.0523,-0.0724,0.000132113,0.01291219,0.044564297,0.051945401,-0.000976254
4/30/2010,-0.0799,-0.0742,0.000109189,0.015077201,0.043683601,-0.005103102,0.000775145
3/31/2010,0.0158,0.0727,0.000114024,0.009435203,0.030396497,0.035740205,0.001736913
2/28/2010,0.0603,0.0808,6.95E-05,-0.008792296,-0.017875501,0.004508302,0.004106244
1/31/2010,0.031,0.0439,8.13E-06,0.007065291,0.003154206,0.003879994,0.000249176
12/31/2009,-0.036,-0.0294,3.06E-05,0.019405109,0.02636369,0.009552805,0.003417375
11/30/2009,0.0193,0.0869,5.94E-05,-0.024096502,-0.058440499,-0.027533899,-0.001761032
10/31/2009,0.06,0.0178,4.63E-06,0.018419002,0.020848108,0.004422397,0.000707664
9/30/2009,-0.0186,-0.0727,3.63E-05,0.003011091,-0.017057701,0.001572201,0.000963081
8/31/2009,0.0373,0.0576,8.28E-05,0.007475006,0.017600401,0.027342202,0.000625485
7/31/2009,0.0361,0.0273,0.000113826,0.009662199,0.023065198,0.023500299,0.002242845
6/30/2009,0.0756,0.0982,0.000135382,0.005606498,0.001877395,0.056475498,-0.001585636
5/31/2009,0.002,0.0276,7.90E-05,-0.007639902,0.008343201,0.035020505,0.008589833
4/30/2009,0.0559,0.0343,2.13E-05,-0.013164097,-0.024807797,0.048944495,0.00288881
3/31/2009,0.0957,0.1739,0.000135414,-0.016553199,-0.064941099,-0.003012396,0.002496391
2/28/2009,0.0876,0.0958,0.000158593,0.018623198,0.064109502,-0.001762599,0.002431667
